Date,AXP,BAC,BK,C,CB,COF,GS,JPM,MS,PNC,SCHW,STT,TFC,USB,WFC
2015-07-08,5544800,83033000,4696200,26169400,2794800,2361700,2185100,17707200,9113300,2307500,12312700,1398300,4514000,6207200,12906600
2015-07-09,3934000,81534400,5244600,23540400,3004100,2025700,2256200,14984700,7286000,2896000,12130200,2543100,4761500,6403200,13623200
2015-07-10,3036000,72965300,4771100,16578700,2404300,1723600,1840600,12356100,6780400,3141700,7849100,2047500,2801300,5414600,13269600
2015-07-13,3677500,67934300,7204700,18803900,1685500,2058800,2041700,16175600,7183900,2627300,7938900,1741300,2463500,6065500,15521800
2015-07-14,3904900,69999800,3454100,18174900,2703400,1783800,2090700,20185100,8054600,3002700,6366100,1531700,3636400,8762300,20066300
2015-07-15,3947000,173099900,3187600,20470500,3798900,2211300,2536700,16891600,7649400,3974200,7054500,1288200,5593300,16088700,17159400
2015-07-16,4095800,117054300,3206300,41084000,2759400,2067300,4405200,18035700,7969800,2341900,11587400,2401800,6013400,10761600,13194500
2015-07-17,3084400,96894900,3223300,21055300,1699900,2401100,2849000,14040700,8153700,1746900,7498000,1447400,6176000,7157000,12963900
2015-07-20,3553000,71980100,5732600,16016600,2123900,2377100,2175400,11512900,15141800,2134100,6952200,1961500,4714600,5571000,10084900
2015-07-21,3974600,63732800,9810600,21541700,3133800,2522000,1985300,11659900,11773400,1601100,6417800,1938200,4221000,5547800,12504300
2015-07-22,4392700,110327000,7123500,30156200,4582500,2484000,2301300,15493000,9435900,1980100,7356600,2157700,3854900,7022300,14871100
2015-07-23,12256800,103650100,4653800,29432300,3197500,2646200,2192700,14331800,10281600,2407100,6793000,2070100,4337500,7656400,13582200
2015-07-24,8639900,86364300,4928900,24760800,2060600,16800000,2453900,12413900,8370100,1507800,14035500,5198500,4848800,6900900,13157300
2015-07-27,9861400,93231900,6116000,20378400,3007100,7195600,2910500,16801600,11948000,1680600,7563200,3448800,3560800,5963500,15495300
2015-07-28,5516600,82166800,5434400,12566700,2554600,7524100,2018100,14932400,9201100,1771300,6562500,2740500,3492500,7497300,16730600
2015-07-29,4594200,96388600,5555100,14460800,1918200,4626500,1987300,13059200,9677800,1689700,6790200,1879700,4326400,7108900,13718400
2015-07-30,4767100,65667900,4726500,11202100,1531900,4276500,1342900,10197200,5512100,1521200,5121300,1232700,4701300,6096800,9864800
2015-07-31,6344800,67176900,4636200,12529300,4031400,3677200,1644000,11911800,7347600,1480900,9394100,1928900,11661700,6633800,12369800
2015-08-03,5159500,62376800,4589900,10508700,2660000,3392900,2075500,9980600,7078100,1578000,10479900,2011000,5556600,5964000,13085900
2015-08-04,4137600,69741500,4671500,10984500,2368600,2088400,1451500,10964000,6365800,1420800,7528500,2140000,4653700,4705900,12324700
2015-08-05,5562000,65228600,6670000,10631000,2394700,3937500,1535500,11302900,4981000,1175900,10247500,1668400,3479300,3765000,12032500
2015-08-06,4522100,47594700,4410000,14707400,1951700,3196300,1485800,10803400,7573500,1562900,6287900,2679900,3117500,3566700,12556600
2015-08-07,23689600,71020700,6215200,11934000,1466000,2879000,1691100,11453300,8329500,1557600,5219300,1448000,4791300,4616600,13596200
2015-08-10,12609000,65791200,5269100,10812200,1589800,2303100,1640300,12661400,5585000,1919500,6782500,2062500,4726400,5260300,12397500
2015-08-11,8509800,65868600,5775800,18897600,1799700,2543800,2554000,14800300,11188900,2491900,5121500,2038600,4709700,5351800,15425500
2015-08-12,6945600,141600100,8458100,27428700,1807200,3122100,2771900,21069000,13981400,2573300,10378900,2891400,4025700,5657200,21663200
2015-08-13,4866900,67456200,3330800,15837900,1516100,2448700,3353600,11930600,6554200,1682800,4253700,1915100,3335000,3450700,11868600
2015-08-14,5387100,52710300,3613200,8864000,1326200,1967000,3567100,11248800,5029500,1503400,3223000,1496200,3403300,4583500,9742500
2015-08-17,4574700,42310000,3539100,11139200,1391200,2020200,1600700,10326500,5109200,2052800,6397800,2034400,2937900,4527200,11462500
2015-08-18,4458300,50360700,7422300,11593200,1458600,2414600,1665400,10617500,8794400,2716300,5640800,1415100,8127300,3762100,10581500
2015-08-19,5314600,78540500,9364300,17673200,1917900,4639000,2721400,15198200,8549700,2662400,8725500,2289700,6825000,6057400,13744600
2015-08-20,7240600,149185400,9842400,28455500,2499100,2895600,3140000,20972300,14129400,3240400,10267400,2820800,6415100,7724500,20857700
2015-08-21,8483300,148874300,9400300,33437500,2685300,4220400,5406200,28235500,30185700,3702200,11616700,4060200,8121700,10079800,31954400
